site,sampleid,mel_s,pb_s,het_s,sum_s,mel_r,pb_r,het_r,sum_r,sum_t,eggs_r,yield_kgha,b,g,nir,r,re
a,11,4,0,0,4,1411.764705882353,0,47.05882352941177,1764.705882352941,1768.705882352941,305.88235294117646,1062.0904411764704,0.045785395994231,0.045785395994231,0.448048378140838,0.02924440762511,0.142852191378673
a,12,0,0,0,0,2720,0,17.391304347826086,4437.391304347826,4437.391304347826,1700,1267.1837677484787,0.050829994266967,0.050829994266967,0.576729580813797,0.025446877724051,0.166308434592688
a,13,4,0,8,12,2000,346.6666666666667,26.666666666666668,6240,6252,3866.6666666666665,1098.7142494929008,0.048839690766551,0.048839690766551,0.460131223310124,0.031548708047379,0.152557877871123
a,14,0,0,0,0,1855.3846153846155,15.384615384615385,61.53846153846154,2220.769230769231,2220.769230769231,288.46153846153845,1289.1580527383367,0.048403273104624,0.048403273104624,0.480206191982922,0.026204196583881,0.158602591396264
a,15,8,8,0,16,11660,600,1000,15510,15526,2250,1692.0199442190672,0.044525042325258,0.044525042325258,0.443864290985991,0.029190927650779,0.143812918722847
a,16,12,4,0,16,0,26.666666666666668,0,436.6666666666667,452.6666666666667,410,1831.1904158215011,0.044745439266348,0.044745439266348,0.433254899785799,0.032575079773584,0.142967007122934
a,17,0,0,0,0,40,40,0,405,405,325,1464.952332657201,0.048183333676528,0.048183333676528,0.415444269552267,0.039730114983645,0.145628746078514
a,18,0,0,4,4,11.428571428571429,22.857142857142858,0,608.5714285714287,612.5714285714287,574.2857142857143,1501.576140973631,0.0455981329233,0.0455981329233,0.440705597728163,0.029276858333606,0.142102991505103
a,19,0,0,0,0,80,60,60,960,960,760,1311.132337728195,0.045849311373609,0.045849311373609,0.376296178952551,0.040695681293704,0.140119880383268
a,20,0,0,0,0,133.33333333333334,80,26.666666666666668,1193.3333333333335,1193.3333333333335,953.3333333333334,1545.524710953347,0.046477421844269,0.046477421844269,0.42031292506942,0.032211977700867,0.142930328818586
a,21,0,0,0,0,0,0,0,533.3333333333334,533.3333333333334,533.3333333333334,1325.7818610547668,0.052008952863295,0.052008952863295,0.424316630753524,0.041493989506606,0.155018207397969
a,22,12,8,4,24,213.33333333333334,26.666666666666668,0,2983.3333333333335,3007.3333333333335,2743.3333333333335,1948.3866024340775,0.047936320118606,0.047936320118606,0.40768009940019,0.035865178307116,0.146073916587688
a,23,76,0,100,176,380,30,20,4140,4316,3710,1516.2256643002029,0.048044669554456,0.048044669554456,0.406675369471543,0.037558199049493,0.14289825612350401
a,24,52,0,8,60,350,350,50,2175,2235,1425,783.7494979716026,0.050526939839234,0.050526939839234,0.462771421846221,0.032367017250234,0.154340720160262
a,25,28,4,48,80,368,336,80,1288,1368,504,622.6047413793103,0.044540833291488,0.044540833291488,0.485610418240814,0.024212984190158,0.144055464524118
a,26,12,4,64,80,95.23809523809524,228.57142857142858,304.76190476190476,2280.9523809523807,2360.9523809523807,1652.3809523809523,1062.0904411764704,0.047002839561213,0.047002839561213,0.45117942524917,0.032851257025922,0.146695356571326
a,27,4,0,20,24,0,100,0,866.6666666666666,890.6666666666666,766.6666666666666,1267.1837677484787,0.047379416928732,0.047379416928732,0.489683253861172,0.029657366313723,0.150666005117989
a,29,12,20,920,952,200,80,200,3380,4332,2900,1289.1580527383367,0.049265545037022,0.049265545037022,0.404888637781143,0.038345814843116,0.148269326945816
a,30,0,0,4,4,80,106.66666666666667,26.666666666666668,713.3333333333334,717.3333333333334,500,1692.0199442190672,0.051375212032687,0.051375212032687,0.504250953197479,0.029107198552652,0.15825229157101
a,31,0,12,0,12,300,100,400,7910,7922,7110,944.8942545638946,0.047944858848939,0.047944858848939,0.453077896274764,0.034368903475824,0.149445752211163
a,32,0,0,4,4,320,80,800,12036.666666666666,12040.666666666666,10836.666666666666,725.1514046653145,0.046990203283673,0.046990203283673,0.429072331990639,0.033283164670324,0.143853428807572
a,33,4,0,0,4,0,0,0,520,524,520,417.51141480730223,0.047206663904523,0.047206663904523,0.428005954925565,0.033657602306428,0.144976205826885
a,34,32,0,0,32,26.666666666666668,13.333333333333334,0,1733.3333333333333,1765.3333333333333,1693.3333333333333,1626.0970892494931,0.048631614406,0.048631614406,0.439695274721492,0.032873714241115,0.14978016176007
a,35,60,8,96,164,232.72727272727272,14.545454545454545,3803.6363636363635,5887.272727272727,6051.272727272727,1836.3636363636363,739.8009279918866,0.046361023026025,0.046361023026025,0.379257812035664,0.040747468339072,0.138694068910006
a,36,4,0,0,4,48.484848484848484,0,48.484848484848484,1421.2121212121212,1425.2121212121212,1324.2424242424242,1171.961866125761,0.051898497677244,0.051898497677244,0.432287447264089,0.037563556058825,0.154731651001117
a,37,32,0,0,32,30.76923076923077,61.53846153846154,61.53846153846154,1788.4615384615383,1820.4615384615383,1634.6153846153845,835.0228296146045,0.048954136794274,0.048954136794274,0.439600094321935,0.033773225043177,0.14947564055153
a,38,20,0,340,360,33.333333333333336,66.66666666666667,66.66666666666667,666.6666666666667,1026.6666666666667,500,585.9809330628805,0.047019703272621,0.047019703272621,0.43367715935935,0.031815259018913,0.144034500973409
a,39,0,0,0,0,0,0,23.529411764705884,424.7058823529412,424.7058823529412,401.1764705882353,688.5275963488845,0.05071903990387,0.05071903990387,0.436615940268713,0.038818092583074,0.152010388032936
a,40,8,0,12,20,200,0,0,980,1000,780,900.9456845841785,0.048379449297071,0.048379449297071,0.41402367042268,0.039200603026941,0.145900672383826
a,42,12,4,4,20,657.1428571428571,428.57142857142856,585.7142857142857,12203.571428571428,12223.571428571428,10532.142857142857,1142.6628194726168,0.045490887343556,0.045490887343556,0.440711130807688,0.033300541006984,0.142803146125196
a,43,4,0,0,4,92.3076923076923,92.3076923076923,61.53846153846154,930.7692307692308,934.7692307692308,684.6153846153846,725.1514046653145,0.046868118354016,0.046868118354016,0.378446948504256,0.041808479067479,0.141868763113463
a,44,8,8,4,20,200,133.33333333333334,44.44444444444444,2200,2220,1822.2222222222222,835.0228296146045,0.0463493488074,0.0463493488074,0.365335498262068,0.045341605017704,0.137533239909896
a,45,20,0,0,20,180,100,40,2125,2145,1805,922.9199695740365,0.04438639589118,0.04438639589118,0.410410787487205,0.032146236419186,0.138914012483188
